fecha;categoría;comentario;importe;forma pago
10/06/2022;comisalidas ;;21,50;TC
11/06/2022;supermercado;;82,20;TC
11/06/2022;varios casa;;4,70;TC
11/06/2022;farmacia;;7,17;TC
11/06/2022;supermercado;;16,33;TC
12/06/2022;comisalidas ;BBQ begues;10,00;E
12/06/2022;comisalidas ;;10,20;TC
12/06/2022;comisalidas ;BBQ begues;40,00;T
13/06/2022;supermercado;;40,27;TC
13/06/2022;supermercado;;5,13;TC
14/06/2022;comisalidas ;;11,50;E
14/06/2022;parking público;;4,44;TC
15/06/2022;gastos fijos casa;Cuota extra Parking;20,00;T
15/06/2022;comisalidas ;;6,20;TC
16/06/2022;salud ;Seguro de vida Moi;50,52;T
16/06/2022;ed. cuotas extraescolares;Acollida;2,00;E
16/06/2022;comidas trabajo;;19,40;TC
16/06/2022;salud ;Logopeda 9 junio;40,00;T
16/06/2022;comisalidas ;;7,20;TC
16/06/2022;salud ;Logopeda 16 junio;40,00;T
18/06/2022;mant. coche Passat;Aspirado;2,00;E
18/06/2022;mant. coche Passat;Lavado y limpia vidrios;9,90;TC
18/06/2022;gasolina coche Passat;;58,53;TC
18/06/2022;supermercado;Gran parte es para viaje Sant Joan;112,96;TC
18/06/2022;supermercado;;7,38;TC
18/06/2022;comisalidas ;;17,00;TC
19/06/2022;gasolina coche Corsa;;62,99;TC
19/06/2022;mant. coche Corsa;Lavado;5,95;TC
20/06/2022;ad. menores;Money Manager app;5,99;P
21/06/2022;ed. cuotas extraescolares;Acollida;2,00;E
21/06/2022;comidas trabajo;;6,95;TC
21/06/2022;mant. coche Passat;Lavado;1,00;E
21/06/2022;comisalidas ;;4,40;TC
21/06/2022;comidas trabajo;Pastitas salida IGT;20,00;T
22/06/2022;ed. cuotas extraescolares;Acollida;2,00;E
22/06/2022;comidas trabajo;;12,95;TC
22/06/2022;comidas trabajo;Parking;2,25;TC
22/06/2022;parking público;;1,75;P
22/06/2022;ed. cuotas extraescolares;Casal piscina;128,80;T
23/06/2022;comidas trabajo;;3,00;TC
23/06/2022;viajes transporte;Peaje;2,75;TC
23/06/2022;viajes transporte;Peaje;8,39;TC
23/06/2022;viajes transporte;Peaje;12,64;TC
23/06/2022;viajes alojamiento;;147,96;TC
23/06/2022;viajes alimentación;;3,10;TC
24/06/2022;viajes alimentación;;41,70;TC
25/06/2022;viajes alimentación;;5,65;TC
26/06/2022;viajes alimentación;;6,85;TC
26/06/2022;viajes alimentación;;43,10;TC
26/06/2022;viajes transporte;Peaje;12,64;TC
26/06/2022;viajes transporte;Peaje;8,39;TC
26/06/2022;viajes transporte;Peaje;2,75;TC
27/06/2022;farmacia;;7,37;TC
27/06/2022;vestimenta;Sandalias Mayka;15,00;TC
27/06/2022;comisalidas ;;14,30;TC
27/06/2022;supermercado;;34,19;TC
28/06/2022;comisalidas ;;7,35;TC
28/06/2022;vestimenta;Trx de 65,15 pues 20 eur dev Moi;85,15;TC
28/06/2022;comisalidas ;;4,00;TC
28/06/2022;comisalidas ;;7,85;TC
28/06/2022;viajes transporte;Gasolina viaje Guils;66,46;TC
28/06/2022;streaming;HBO;2,25;P
29/06/2022;ad. menores;Chaira;46,36;TC
30/06/2022;comisalidas ;;5,10;TC
30/06/2022;salud ;Logopeda;40,00;T
01/07/2022;comisalidas ;;1,80;TC
01/07/2022;hipoteca;;770,70;T
01/07/2022;gastos fijos casa;Comunidad;66,18;T
01/07/2022;internet;;38,77;T
01/07/2022;comisalidas ;;16,00;E
02/07/2022;comisalidas ;;24,10;TC
04/07/2022;gastos fijos casa;Comunidad Parking;50,89;T
04/07/2022;gastos fijos casa;Parking;70,00;T
05/07/2022;comisalidas ;;8,00;E
06/07/2022;farmacia;;17,11;TC
06/07/2022;ed. cuotas extraescolares;Kids and us matricula september;71,00;T
06/07/2022;ed. cuotas extraescolares;Kids and us junio;50,00;T
07/07/2022;farmacia;;12,32;TC
07/07/2022;supermercado;;38,85;TC
07/07/2022;salud ;Logopeda;40,00;T
07/07/2022;supermercado;;38,13;TC
07/07/2022;gastos fijos casa;IBI parking;14,00;T
07/07/2022;gastos fijos casa;IBI piso;142,13;T
07/07/2022;gastos fijos casa;Tasa residuos;26,63;T
07/07/2022;ed. cuotas obligatorias;14 menues a 6,30;88,20;T
07/07/2022;ed. cuotas extraescolares;Acollida por la tarde junio;18,00;T
08/07/2022;viajes alojamiento;Reserva para agosto;680,40;TC
09/07/2022;supermercado;;90,97;TC
09/07/2022;comisalidas ;;39,70;TC
11/07/2022;comisalidas ;;4,50;TC
11/07/2022;supermercado;;14,96;TC
11/07/2022;ad. mayores;Microondas;138,90;TC
13/07/2022;móviles ;;1,24;T
13/07/2022;salud ;Logopeda;40,00;T
13/07/2022;comisalidas ;;5,90;TC
13/07/2022;supermercado;;60,70;TC
14/07/2022;gastos varios;Donación wikipedia;10,00;P
15/07/2022;ed. cuotas obligatorias;Kids and us Julio;270,00;T
15/07/2022;gas;;45,04;T
16/07/2022;parking público;;3,67;TC
16/07/2022;supermercado;;58,01;TC
16/07/2022;supermercado;;12,48;TC
16/07/2022;gastos varios;Cuarzo Mayka;5,00;TC
17/07/2022;ad. menores;Molinillo pimienta;31,75;TC
18/07/2022;comisalidas ;;1,20;TC
18/07/2022;ad. menores;Auriculares - DEVUELTOS;15,74;TC
19/07/2022;supermercado;;21,45;TC
19/07/2022;salud ;Seguro de vida Moi;50,52;T
20/07/2022;comidas trabajo;;10,10;TC
20/07/2022;varios casa;Fumigación limonero;30,00;E
21/07/2022;supermercado;;36,35;TC
21/07/2022;comisalidas ;;13,00;E
22/07/2022;supermercado;;9,45;TC
22/07/2022;supermercado;;10,29;TC
22/07/2022;gastos varios;Globos, abanico y pegatinas;5,20;E
22/07/2022;ed. cuotas obligatorias;1a cuota material Mayka;50,00;T
23/07/2022;supermercado;;98,97;TC
23/07/2022;supermercado;;13,49;TC
23/07/2022;comisalidas ;;29,00;TC
23/07/2022;comisalidas ;;1,00;E
24/07/2022;supermercado;Ojo que pacharán de 15,94 devuelto;37,13;TC
25/07/2022;supermercado;;9,94;E
25/07/2022;gastos varios;Bazar;3,80;E
26/07/2022;ed. cuotas extraescolares;Acollida el complex;12,60;TC
26/07/2022;comisalidas ;Salida con hijas;11,00;TC
26/07/2022;parking público;;0,97;P
27/07/2022;supermercado;;2,67;TC
27/07/2022;ed. cuotas extraescolares;El Complex 1ra semana agosto;133,00;TC
27/07/2022;comisalidas ;;8,30;TC
27/07/2022;comisalidas ;;18,90;TC
28/07/2022;supermercado;;7,31;TC
28/07/2022;salud ;Logopeda 28 julio;40,00;T
28/07/2022;salud ;Logopeda 21 julio;40,00;T
29/07/2022;comisalidas ;;10,29;TC
29/07/2022;transp. público;;0,83;P
30/07/2022;supermercado;;46,59;TC
30/07/2022;supermercado;;27,00;TC
01/08/2022;vestimenta;;42,00;TC
01/08/2022;hipoteca;;770,70;T
01/08/2022;gastos fijos casa;Comunidad;66,18;T
01/08/2022;internet;;42,67;T
01/08/2022;ed. cuotas extraescolares;Kids and us material;77,00;T
01/08/2022;parking público;;2,00;E
01/08/2022;streaming;HBO;2,25;T
01/08/2022;comisalidas ;;64,40;TC
02/08/2022;comisalidas ;;16,25;P
05/08/2022;gastos fijos casa;Parking;70,00;T
06/08/2022;gastos varios;Folios de colores;3,90;TC
06/08/2022;supermercado;;16,69;TC
06/08/2022;supermercado;;19,97;TC
08/08/2022;farmacia;;10,99;TC
09/08/2022;viajes alimentación;;22,65;TC
09/08/2022;viajes alimentación;;1,00;E
09/08/2022;viajes alojamiento;Departamento Roses;920,50;TC
09/08/2022;viajes alimentación;;141,12;TC
11/08/2022;viajes alimentación;;43,80;TC
14/08/2022;viajes varios;El parque de los 80s;21,00;TC
15/08/2022;viajes varios;Feria;3,50;TC
15/08/2022;viajes alimentación;;13,50;E
15/08/2022;viajes varios;Feria;5,00;E
15/08/2022;internet;Google one;0,49;P
16/08/2022;viajes varios;Slime;3,50;E
16/08/2022;viajes alimentación;;10,70;TC
16/08/2022;viajes transporte;Parking;4,90;TC
16/08/2022;viajes alojamiento;Hotel Lloret;690,96;TC
16/08/2022;salud ;Seguro de vida Moi;50,52;T
17/08/2022;viajes alojamiento;A REINTEGRAR POR CANCELADO Casa rural puente noviembre en Guils;163,92;TC
17/08/2022;viajes varios;Arcades;3,00;E
20/08/2022;viajes varios;Taquilla más tonta y corta del mundo;2,00;E
20/08/2022;viajes transporte;Gasolina;60,00;TC
20/08/2022;supermercado;;53,21;TC
22/08/2022;supermercado;;49,00;TC
25/08/2022;supermercado;;73,38;TC
25/08/2022;comisalidas ;;20,00;E
26/08/2022;viajes alimentación;;9,70;TC
28/08/2022;viajes transporte;Gasolina;70,03;TC
28/08/2022;viajes alimentación;;2,85;TC
28/08/2022;viajes alimentación;;2,10;TC
28/08/2022;viajes alimentación;;4,20;TC
29/08/2022;supermercado;;27,57;TC
30/08/2022;viajes transporte;Gasolina EyE;62,21;TC
30/08/2022;mant. coche Passat;Lavado;5,95;TC
30/08/2022;streaming;HBO;2,25;T
30/08/2022;mant. coche Passat;Aspirado;1,00;TC
31/08/2022;ad. menores;;74,35;TC
01/09/2022;hipoteca;;770,70;T
01/09/2022;gastos fijos casa;Comunidad;66,18;T
01/09/2022;internet;;43,00;T
01/09/2022;comisalidas ;;17,50;TC
02/09/2022;gastos fijos casa;Comunidad extra para portero;50,00;T
03/09/2022;supermercado;;244,50;TC
03/09/2022;comisalidas ;;8,00;TC
03/09/2022;comisalidas ;;5,00;E
03/09/2022;transp. público;Salida con Augusto et al;17,90;TC
05/09/2022;gastos fijos casa;Parking;70,00;T
05/09/2022;ed. cuotas extraescolares;Kids and us septiembre;71,00;T
05/09/2022;supermercado;;29,20;TC
06/09/2022;farmacia;;22,30;TC
06/09/2022;supermercado;;11,33;TC
12/09/2022;mant. casa;Foquitos;9,00;TC
13/09/2022;supermercado;;157,93;TC
13/09/2022;ed. cuotas extraescolares;Danza Mayka;50,00;T
13/09/2022;supermercado;;18,84;TC
13/09/2022;comisalidas ;;19,90;TC
14/09/2022;streaming;Fútbol;8,00;T
15/09/2022;farmacia;;1,93;E
16/09/2022;internet;Google one anual;19,99;P
16/09/2022;salud ;Seguro de vida Moi;50,52;T
17/09/2022;parking público;;7,78;TC
17/09/2022;ad. mayores;Mesa y banco;927,00;TC
17/09/2022;ad. mayores;Sillas;248,97;TC
19/09/2022;mant. casa;GATERA, VER CATEGORÍA;25,99;TC
19/09/2022;gas;;41,88;T
19/09/2022;supermercado;;41,57;TC
20/09/2022;ed. cuotas obligatorias;Guardería Luana;215,65;T
22/09/2022;comisalidas ;;19,00;T
23/09/2022;aguas;;90,50;T
23/09/2022;parking público;Ofi medio día;13,90;TC
24/09/2022;supermercado;;105,36;TC
26/09/2022;comisalidas ;;13,15;TC
26/09/2022;supermercado;;14,75;TC
26/09/2022;comisalidas ;;26,10;TC
26/09/2022;supermercado;;70,64;TC
26/09/2022;parking público;;0,75;P
28/09/2022;streaming;HBO;2,25;T
29/09/2022;comisalidas ;;16,50;TC
29/09/2022;supermercado;;42,41;TC
30/09/2022;transp. público;Tarjeta T-Casual;7,95;E
30/09/2022;comisalidas ;;2,50;E
30/09/2022;comidas trabajo;;15,70;TC
01/10/2022;supermercado;;79,18;TC
01/10/2022;hipoteca;;770,70;T
01/10/2022;comisalidas ;;36,00;E
03/10/2022;parking coche;Parking;70,00;T
03/10/2022;gastos fijos casa;Comunidad;136,18;T
03/10/2022;gastos fijos casa;Parking;105,89;T
03/10/2022;gastos fijos casa;Parece IBI Parking;14,00;T
03/10/2022;internet;;43,00;T
03/10/2022;gastos fijos casa;IBI casa;142,13;T
03/10/2022;ed. cuotas extraescolares;Kids and us octubre;71,00;T
03/10/2022;comisalidas ;;4,10;TC
03/10/2022;gasolina coche Corsa;;48,80;TC
04/10/2022;comidas trabajo;;17,05;TC
05/10/2022;comisalidas ;;8,80;TC
06/10/2022;supermercado;;34,02;TC
07/10/2022;ed. cuotas obligatorias;2a cuota material Mayka;50,00;T
07/10/2022;supermercado;;23,87;TC
07/10/2022;supermercado;;3,50;E
07/10/2022;ed. cuotas obligatorias;20 menues a 6,54;130,80;T
07/10/2022;ed. cuotas obligatorias;Acollida;22,00;T
08/10/2022;supermercado;;85,94;TC
09/10/2022;comisalidas ;;27,64;TC
10/10/2022;supermercado;;6,08;TC
10/10/2022;supermercado;;10,55;TC
10/10/2022;ed. cuotas obligatorias;Guardería Luana;248,65;T
12/10/2022;entretenimiento;Feria;5,00;E
12/10/2022;entretenimiento;Feria;10,00;E
12/10/2022;entretenimiento;Feria;5,00;E
12/10/2022;entretenimiento;Feria;2,50;E
13/10/2022;streaming;Fútbol;8,00;T
13/10/2022;comisalidas ;;21,00;TC
13/10/2022;comisalidas ;;1,00;E
13/10/2022;supermercado;;1,50;E
14/10/2022;farmacia;;19,67;TC
15/10/2022;transp. público;Peaje;7,26;TC
15/10/2022;comisalidas ;Cumple Joao;74,00;T
17/10/2022;salud ;Seguro de vida Moi;50,52;T
17/10/2022;comidas trabajo;;12,55;TC
17/10/2022;comisalidas ;;4,50;TC
19/10/2022;comisalidas ;;17,50;TC
21/10/2022;comisalidas ;Invitación Paco y Nando;42,20;TC
21/10/2022;supermercado;;31,87;TC
21/10/2022;comisalidas ;;12,00;TC
23/10/2022;supermercado;;2,74;TC
24/10/2022;mant. coche Passat;Lavado;5,95;TC
24/10/2022;gasolina coche Passat;;15,07;TC
24/10/2022;comisalidas ;;5,20;TC
25/10/2022;farmacia;;16,37;TC
25/10/2022;supermercado;Bailys para viaje;24,67;TC
26/10/2022;supermercado;;18,09;TC
26/10/2022;comisalidas ;;11,30;TC
26/10/2022;gasolina coche Corsa;;50,00;TC
27/10/2022;supermercado;Trx más alta, parte del viaje MMMM;90,15;TC
28/10/2022;supermercado;;20,33;TC
28/10/2022;transp. público;;5,35;TC
28/10/2022;streaming;HBO;2,25;T
29/10/2022;viajes varios;Peaje;2,75;TC
29/10/2022;viajes varios;Peaje;8,39;TC
29/10/2022;viajes varios;Peaje;12,64;TC
31/10/2022;viajes varios;Granja;15,00;E
01/11/2022;viajes transporte;Estacionamiento;4,00;TC
01/11/2022;ad. menores;Asentador cuero;5,00;E
01/11/2022;ad. menores;Durante viaje MMMM;21,80;TC
01/11/2022;varios casa;Jarra cerámica para agua;19,00;E
01/11/2022;hipoteca;;770,70;T
01/11/2022;gastos fijos casa;Comunidad;136,18;T
01/11/2022;internet;;43,24;T
01/11/2022;streaming;HBO;2,25;T
02/11/2022;viajes transporte;Peaje;2,70;TC
02/11/2022;viajes transporte;Gasolina viaje MMMM;66,03;TC
02/11/2022;ed. cuotas extraescolares;Kids and us noviembre;71,00;T
02/11/2022;gastos fijos casa;Tasa residuos;26,62;T
03/11/2022;supermercado;Tapas empanadas;5,00;TC
03/11/2022;parking coche;Parking;70,00;T
04/11/2022;supermercado;;109,21;TC
05/11/2022;comisalidas ;Asado oncall;18,40;T
07/11/2022;comisalidas ;;5,60;TC
08/11/2022;ed. cuotas obligatorias;18 menues a 6,54;117,72;T
08/11/2022;ed. cuotas extraescolares;Acollida;22,00;T
09/11/2022;ed. cuotas extraescolares;Robótica octubre y material;66,00;T
10/11/2022;gastos fijos casa;Tributo metropolitano;34,48;TC
10/11/2022;comidas trabajo;Menu para 2;16,50;TC
10/11/2022;ed. cuotas obligatorias;Guardería Luana noviembre, han de devolver por los tickets;368,00;T
11/11/2022;ed. cuotas obligatorias;Sortides Mayka;100,50;T
11/11/2022;supermercado;;116,78;TC
11/11/2022;comisalidas ;;21,00;T
13/11/2022;act. infantiles;Jungla Park;8,00;T
14/11/2022;gas;;39,97;T
14/11/2022;vestimenta;;41,50;P
15/11/2022;comisalidas ;;11,75;TC
15/11/2022;comidas trabajo;;6,50;TC
16/11/2022;salud ;Seguro de vida Moi;50,52;T
18/11/2022;comisalidas ;;20,00;TC
19/11/2022;comisalidas ;;19,00;T
21/11/2022;streaming;Coralnet streaming fútbol;12,49;TD
21/11/2022;comisalidas ;;4,40;TC
21/11/2022;mant. coche Passat;Impuesto CO2;27,44;T
